,Product Description,Price,Sold,Rate,Shipping,Link
0,Kawaii חמוד בעלי החיים Cartoon כדורי עטים 35 צבעים בית ספר משרד אספקת מכתבים 10 בשלל צבעים עטים מילוי צבעוני,₪1.87,32 נמכרו,5,,https://he.aliexpress.com/item/1005003406851888.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-0&pdp_npi=3%40dis%21ILS%217.72%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000025647595528%21sea%21IL%210&curPageLogUid=SSTSNKSDGPXn
1,חמוד רטרו מצלמה מכתבים שחור ג 'ל עט משרד עט סימן,₪4.36,2 נמכרו,,,https://he.aliexpress.com/item/4000955661369.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-1&pdp_npi=3%40dis%21ILS%214.85%214.36%21%21%21%21%21%402100b78b16855986642312791d07b2%2110000012531349222%21sea%21IL%210&curPageLogUid=8N2aImdU0EZe
2,1pcs Kawaii גדול אוזן כלב ג 'ל עט חמוד 0.5mm שחור דיו חתימת עט בית ספר משרד כתיבה לקידום מתנה,₪3.48,9 נמכרו,,,https://he.aliexpress.com/item/1005004696225298.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-2&pdp_npi=3%40dis%21ILS%213.82%213.48%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000030133039987%21sea%21IL%210&curPageLogUid=Jb3dm7wd7csD
3,,,,,,https://he.aliexpress.com/item/1005004329309006.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-3&pdp_npi=3%40dis%21ILS%218.68%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000028776274912%21sea%21IL%210&curPageLogUid=wRuRsjRNRYRt
4,8 יח'\סט נשלף ג 'ל עט שחור/אדום/כחול דיו כדורי לכתיבה 0.5mm מילוי משרד ציוד לבית ספר מכתבים,₪4.09,419 נמכרו,4.8,,https://he.aliexpress.com/item/1005004883174388.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&aem_p4p_detail=202305312251043796503071149380000018226&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-4&pdp_npi=3%40dis%21ILS%2124.23%214.09%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000030882096284%21sea%21IL%210&curPageLogUid=pyDjlqCB8FCo&p4p_pvid=202305312251043796503071149380000018226_1
5,1/3Pcs Refillable דיו צבע מים עט מברשת ציור קליגרפיה איור עט משרד מכתבים,₪1.87,210 נמכרו,2.3,,https://he.aliexpress.com/item/1005002848023150.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-5&pdp_npi=3%40dis%21ILS%2111.43%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000022451845051%21sea%21IL%210&curPageLogUid=RJZHW4P6eswe
6,1pc חמוד כדורי עטים Kawaii Cartoon כדורי עטים לילדים בנות מתנות לימוד כתיבה אספקת חידוש מכתבים,₪1.87,27 נמכרו,5,,https://he.aliexpress.com/item/4000580488926.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-6&pdp_npi=3%40dis%21ILS%213.82%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2110000003392148123%21sea%21IL%210&curPageLogUid=CsuJk31Z7Zl6
7,,,,,,https://he.aliexpress.com/item/1005004790691046.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-7&pdp_npi=3%40dis%21ILS%214.17%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000030498278405%21sea%21IL%210&curPageLogUid=neVDQNMMUFm3
8,1pcs למכור לבן עצם כדורי עטי תלמיד כדור נקודת עט בית ספר ציוד משרדי למידה מכתבים סיטונאי,₪4.43,79 נמכרו,5,,https://he.aliexpress.com/item/1005002983941502.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-8&pdp_npi=3%40dis%21ILS%217.38%214.43%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000023062387461%21sea%21IL%210&curPageLogUid=03ka5qPHmPm8
9,DARB יוקרה עט נובע מצופה עם 24K זהב ציפוי באיכות גבוהה עסקי משרד מתכת דיו עטי מתנה קלאסי,₪81.48,38 נמכרו,4.3,,https://he.aliexpress.com/item/4001021112810.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&aem_p4p_detail=202305312251043796503071149380000018226&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-9&pdp_npi=3%40dis%21ILS%2196.77%2181.48%21%21%21%21%21%402100b78b16855986642312791d07b2%2110000013667409765%21sea%21IL%210&curPageLogUid=JdLbWpX5fWyq&p4p_pvid=202305312251043796503071149380000018226_2
10,1pc חמוד אנימה Cartoon אסטרונאוט מחיק ג 'ל עט סט עם דיו מילוי 0.5mm שחור כחול Kawaii מכתבים ילדים ציוד לבית ספר,₪5.66,22 נמכרו,4,,https://he.aliexpress.com/item/1005005275531212.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-10&pdp_npi=3%40dis%21ILS%218.1%215.66%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000032450118217%21sea%21IL%210&curPageLogUid=FLKcZqk62wr2
11,,,,,,https://he.aliexpress.com/item/1005004648201747.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-11&pdp_npi=3%40dis%21ILS%2112.27%218.6%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000029971672752%21sea%21IL%210&curPageLogUid=xdKfSLsChafR
12,"מתכת קריסטל כדורי עט, 0.7 יהלומי פיות קסם שרביט עט, גביש חול טובעני נוזל Creative קטן פיות כדורי עט 1pcs",₪1.87,4 נמכרו,5,,https://he.aliexpress.com/item/4000284366515.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-12&pdp_npi=3%40dis%21ILS%215.04%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2110000001169450827%21sea%21IL%210&curPageLogUid=2H95c4HeotTA
13,מחיק ג 'ל עטים לילדים כתיבה חמוד Kawaii יפני קוריאני מכתבים בחזרה ציוד לבית ספר אביזרי משרד,₪1.87,20 נמכרו,5,,https://he.aliexpress.com/item/1005005232042194.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-13&pdp_npi=3%40dis%21ILS%219.71%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000032294548527%21sea%21IL%210&curPageLogUid=2bPcvEBN6IxK
14,6 יח'\סט 20mm עמוק חור ארוך ציפורן ראש סמני עבור מתכת ניקוב עט עמיד למים אמבטיה נגרות קישוט רב תכליתי,₪4.09,367 נמכרו,4.9,,https://he.aliexpress.com/item/1005004891622156.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&aem_p4p_detail=202305312251043796503071149380000018226&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-14&pdp_npi=3%40dis%21ILS%2124.23%214.09%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000030914646483%21sea%21IL%210&curPageLogUid=OP8E4N4VmGOT&p4p_pvid=202305312251043796503071149380000018226_3
15,,,,,,https://he.aliexpress.com/item/4000982915731.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-15&pdp_npi=3%40dis%21ILS%2115.78%218.68%21%21%21%21%21%402100b78b16855986642312791d07b2%2110000013191134177%21sea%21IL%210&curPageLogUid=CV9AR3Q31w4T
16,1pcs רומן קיסרי כתר כדורי עט יצירתי קריקטורה עט לכתיבה מכתבים משרד בית הספר עט Ballpen דיו שחור,₪4.43,2 נמכרו,,,https://he.aliexpress.com/item/1005003333225653.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-16&pdp_npi=3%40dis%21ILS%217.38%214.43%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000025263634063%21sea%21IL%210&curPageLogUid=lKaEPV78WIjb
17,4 יח'\סט Kawaii חזיר דוב חתול עכבר מחיק ג 'ל עט בית ספר משרד מכתבים אספקת מתנת 0.35mm כחול שחור דיו,₪6.13,4.000+ נמכרו,4.8,,https://he.aliexpress.com/item/4000325642482.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-17&pdp_npi=3%40dis%21ILS%219.43%216.13%21%21%21%21%21%402100b78b16855986642312791d07b2%2110000001337725520%21sea%21IL%210&curPageLogUid=h9KuwgGLP8UL
18,1pcs באני ג 'ל עט 0.5mm חמוד עטים מכתבים עטי תלמיד חמוד שחור חתימת ג' ל עט בית ספר ציוד משרדי כתיבה כלים,₪1.87,46 נמכרו,4.8,,https://he.aliexpress.com/item/1005002053039593.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-18&pdp_npi=3%40dis%21ILS%212.41%211.87%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000018569620327%21sea%21IL%210&curPageLogUid=QsbEutEiRH8r
19,,,,,,https://he.aliexpress.com/item/1005005218621318.html?algo_pvid=551cfcfc-8314-433e-9c63-c524d994eb3f&aem_p4p_detail=202305312251043796503071149380000018226&algo_exp_id=551cfcfc-8314-433e-9c63-c524d994eb3f-19&pdp_npi=3%40dis%21ILS%2175.86%2137.93%21%21%21%21%21%402100b78b16855986642312791d07b2%2112000032228473238%21sea%21IL%210&curPageLogUid=xGuZO9AhTqYj&p4p_pvid=202305312251043796503071149380000018226_4
